# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/engine/annotation/data/gencode.v36.annotation_chr5.gtf" "-t" "exon" "-g" "gene_id" "-s" "0" "-T" "4" "-o" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/subread/SKMel147_ARID2KO_R1_RNA_chr5_R1.featureCounts.txt" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.bam
ENSG00000286853.1	chr5;chr5	58114598;58145370	58114759;58145996	+;+	789	23
ENSG00000248271.1	chr5	58161197	58161752	+	556	0
ENSG00000145632.15	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	58453982;58453985;58453987;58454706;58454911;58454911;58454911;58454975;58455285;58455285;58455285;58455539;58455539;58455539;58455611;58456026;58456026;58456026;58456026;58456147;58456492;58456492;58456492;58456743;58456945;58456945;58456945;58456945;58457006;58457061;58457181;58457181;58457181;58457181;58457181;58457181;58457181;58457309;58457488;58457488;58457488;58457488;58457488;58457488;58457494;58457516;58458084;58458084;58458084;58458084;58458084;58458084;58458297;58458399;58458399;58458399;58458399;58458725;58458725;58458725;58458725;58458725;58458865;58458985;58458985;58458985;58458985;58458985;58459690;58459690;58459690;58459690;58459798	58454774;58454225;58454774;58454774;58455116;58455021;58455021;58455021;58455414;58455414;58455414;58455779;58455779;58455779;58455779;58456194;58456413;58456155;58456155;58456589;58456589;58456589;58456589;58457092;58457092;58457092;58457092;58457092;58457092;58457092;58457379;58457421;58457279;58457379;58457379;58457379;58457379;58457379;58457583;58457583;58457737;58457583;58457569;58457583;58457583;58457583;58458171;58458573;58458171;58458528;58458171;58458171;58458841;58458528;58458528;58458528;58458528;58458841;58458841;58458895;58458841;58458841;58459092;58459092;58459139;58459505;58459092;58459092;58459859;58460086;58459755;58460086;58460139	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4647	3281
ENSG00000175857.8	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	58491435;58491435;58491437;58491481;58491492;58493619;58493619;58493619;58493711;58493711;58493735;58494145;58494148;58494240;58494247;58494247;58494247;58496723	58491541;58491541;58491541;58491541;58491541;58493683;58493838;58493683;58493838;58493838;58493838;58494743;58494515;58496358;58494516;58497090;58494742;58497090	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3273	0
ENSG00000271257.1	chr5	58503295	58503700	+	406	0
ENSG00000265699.1	chr5	58530043	58530109	-	67	0
ENSG00000250127.1	chr5;chr5;chr5;chr5	58541567;58546092;58547135;58558186	58542387;58546159;58547371;58558243	-;-;-;-	1184	0
ENSG00000152932.8	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	58582221;58583075;58617643;58617643;58644364;58647629;58689260;58726002;58726002;58788279;58794290;58825038;58825038;58851164;58851164	58582414;58583232;58617871;58617870;58644438;58647711;58689330;58726120;58726120;58788372;58794531;58825162;58825162;58851527;58859394	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9621	1
ENSG00000248475.5	chr5;chr5;chr5;chr5;chr5;chr5	58741581;58741581;58784724;58814660;58815734;58817044	58742000;58742000;58784779;58814745;58815812;58817099	-;-;-;-;-;-	697	0
ENSG00000240412.1	chr5;chr5	58822503;58823570	58823254;58823714	+;+	897	0
ENSG00000248733.1	chr5;chr5;chr5	58846885;58848418;58863312	58847075;58848574;58863414	-;-;-	451	0
ENSG00000113448.19	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	58969038;58969045;58970287;58973688;58973688;58973772;58974018;58974561;58974563;58974655;58974657;58974921;58974921;58975657;58975657;58975657;58975657;58975657;58975657;58975657;58975657;58975657;58975657;58975657;58975657;58975657;58976350;58976350;58976350;58976350;58976350;58976350;58976350;58976350;58976350;58976350;58976350;58976350;58976350;58977191;58977191;58977191;58977191;58977191;58977191;58977191;58977191;58977191;58977191;58977191;58977191;58977191;58988493;58988493;58988493;58988493;58988493;58988493;58988493;58988493;58988493;58988493;58988493;58988493;58988493;58989755;58989755;58989755;58989755;58989755;58989755;58989755;58989755;58989755;58989755;58989755;58989755;58989755;58990804;58990804;58990804;58990804;58990804;58990804;58990804;58990804;58990804;58990804;58990804;58990804;58990804;58991832;58991832;58991832;58991832;58991832;58991832;58991832;58991832;58991832;58991832;58991832;58991832;58991832;58993372;58993372;58993372;58993372;58993372;58993372;58993372;58993372;58993372;58993372;58993372;58993372;58993372;58993425;58999489;59038859;59038859;59038859;59038859;59038859;59038859;59038859;59038859;59038859;59038859;59038859;59038859;59039058;59091082;59157066;59164947;59166261;59172802;59174350;59180593;59180595;59180595;59180595;59180595;59180595;59180595;59180595;59180595;59180595;59180595;59180595;59180595;59180595;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59185189;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59193500;59215454;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59215777;59216744;59216818;59217220;59217238;59275338;59356758;59430294;59558560;59560830;59586329;59586329;59768247;59768247;59768247;59797060;59893168;59893168;59986398;59988159;59988235;59988321;59988361;59988441;59988488;59988488;59988488;59988488;59988517;59988536;59988602;60127584;60147748;60160769;60185557;60185557;60185557;60185557;60185557;60185557;60185557;60185557;60185557;60188296;60188296;60262398;60335082;60372534;60448637;60487942;60487942;60487942;60487942;60487942;60522051	58975080;58975080;58975080;58975080;58975080;58975080;58975080;58975080;58975080;58975080;58975080;58975080;58975080;58975839;58975839;58975839;58975839;58975839;58975839;58975839;58975839;58975839;58975839;58975839;58975839;58975839;58976472;58976472;58976472;58976472;58976472;58976472;58976472;58976472;58976472;58976472;58976472;58976472;58976472;58977345;58977345;58977345;58977345;58977345;58977345;58977345;58977345;58977345;58977345;58977345;58977345;58977345;58988592;58988592;58988592;58988592;58988592;58988592;58988592;58988592;58988592;58988592;58988592;58988592;58988592;58989919;58989919;58989919;58989919;58989919;58989919;58989919;58989919;58989919;58989919;58989919;58989919;58989919;58990902;58990902;58990902;58990902;58990902;58990902;58990902;58990902;58990902;58990902;58990902;58990902;58990902;58992004;58992004;58992004;58992004;58992004;58992004;58992004;58992004;58992004;58992004;58992004;58992004;58992004;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58993465;58999932;59038971;59038971;59038971;59039515;59038971;59038971;59038971;59038971;59038971;59038971;59038971;59038971;59039512;59091125;59157362;59165050;59166434;59172879;59174472;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59180644;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59185262;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59193536;59215968;59215968;59215935;59215968;59215968;59215968;59215968;59215968;59215968;59215968;59215968;59215968;59215968;59215968;59215968;59216754;59216826;59217236;59217316;59276119;59356975;59430600;59558793;59560914;59586393;59586499;59768636;59768509;59768645;59797132;59893285;59893726;59988717;59988717;59988317;59988717;59988717;59988717;59988704;59988632;59988704;59988717;59988717;59988717;59988717;60127681;60147894;60160817;60185687;60185687;60185687;60185687;60185687;60185687;60185687;60185687;60185687;60188418;60188418;60262559;60335130;60372714;60448707;60488063;60488063;60488065;60488098;60488076;60522120	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	16236	1018
ENSG00000247345.2	chr5;chr5	59039761;59063085	59040070;59063503	+;+	729	0
ENSG00000276214.1	chr5	59314110	59314800	+	691	0
ENSG00000251306.1	chr5	59528861	59529251	+	391	0
ENSG00000202601.4	chr5	59703606	59703703	-	98	0
ENSG00000248935.1	chr5;chr5;chr5;chr5;chr5;chr5	60021249;60021766;60022543;60030848;60030886;60032777	60021330;60021846;60022719;60030972;60030980;60033020	+;+;+;+;+;+	717	0
ENSG00000202017.1	chr5	60304047	60304151	-	105	0
ENSG00000213896.4	chr5	60429903	60430276	-	374	0
ENSG00000214244.4	chr5	60459848	60460739	-	892	111
ENSG00000273701.1	chr5	60487713	60487929	+	217	0
ENSG00000152931.9	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	60487713;60487793;60487998;60488015;60488124;60488155;60488155;60488163;60488163;60488163;60488189;60488207;60489661;60489661;60521020;60521020;60521020;60521020;60521020;60521020;60521020;60529404;60529404;60529404;60529404;60529404;60529404;60529404;60533932;60533932;60533932;60533932;60533932;60539781;60542650;60542650;60546102;60546102;60546102;60546102;60546102;60546102;60546102	60488423;60488423;60488423;60488423;60488423;60488423;60488423;60488423;60488423;60488423;60488423;60488423;60492065;60491518;60526418;60522966;60522966;60521643;60522966;60521643;60526417;60529543;60529543;60529543;60529543;60529543;60529543;60529543;60534019;60534019;60534019;60534019;60534019;60540847;60542830;60542830;60546299;60547547;60547495;60546325;60547547;60548813;60546331	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12703	2
ENSG00000275634.1	chr5	60488078	60488327	+	250	0
ENSG00000276233.1	chr5	60546219	60546349	+	131	0
ENSG00000035499.13	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	60596912;60597629;60597668;60599075;60603391;60603391;60603391;60605684;60605690;60605690;60605690;60628214;60638750;60638750;60638750;60642812;60642812;60642812;60644745;60644745;60644745;60645492;60645492;60645492;60645516;60647398;60647398;60647398;60647398;60647398;60686962;60686962;60686962;60686962;60687725;60688985;60700046;60700046;60700046;60700046	60597914;60597914;60597914;60599260;60603567;60603567;60603567;60605856;60605856;60605856;60605856;60628691;60638890;60638890;60638890;60642859;60642859;60642859;60644875;60644875;60644875;60645619;60645619;60645619;60645619;60647533;60648147;60647533;60647533;60647533;60687227;60687227;60687227;60687227;60687838;60689050;60700190;60700134;60700134;60700166	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3806	991
ENSG00000251303.1	chr5	60630514	60630973	+	460	1
ENSG00000287434.1	chr5;chr5	60699729;60701654	60700341;60702010	+;+	970	0
ENSG00000250148.1	chr5	60743563	60744970	-	1408	0
ENSG00000164181.14	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	60751791;60751792;60751793;60754458;60757509;60757509;60757509;60757509;60764227;60764227;60764227;60764227;60764230;60764230;60764261;60766574;60766574;60766574;60766574;60766574;60766574;60766574;60767823;60767823;60767823;60767823;60767823;60767823;60767823;60768646;60771903;60771903;60771903;60771903;60771903;60771903;60771949;60784094;60785824;60787334;60787334;60787334;60787334;60787334;60787334;60787334;60799180;60799180;60799180;60799180;60802627;60802627;60843422;60844160;60844160;60844160;60844160;60844160	60754833;60754833;60754833;60754833;60757645;60757645;60757645;60757645;60764332;60764332;60764332;60764332;60764332;60764332;60764332;60766630;60766630;60766630;60766630;60766630;60766630;60766630;60767903;60767903;60767903;60767903;60767903;60767903;60767903;60768690;60772093;60772093;60772093;60772093;60772093;60772093;60772093;60784212;60786051;60787431;60787431;60787431;60787465;60787431;60787431;60787431;60799230;60799230;60799230;60799230;60802665;60802665;60843538;60844210;60844269;60844215;60844274;60844269	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4461	310
ENSG00000049167.15	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	60866454;60873831;60873832;60873833;60873834;60873835;60873879;60873885;60874037;60887440;60887440;60887440;60887440;60887440;60887440;60887440;60887440;60887440;60890273;60890889;60890889;60890889;60890889;60890889;60890889;60890889;60890889;60890889;60890911;60892037;60896459;60898276;60898276;60898276;60898276;60898276;60898276;60898276;60898276;60898276;60898276;60898314;60898324;60899627;60899627;60899627;60899627;60899627;60899627;60899627;60899627;60899627;60899627;60899627;60899627;60900651;60902442;60902442;60902442;60902442;60902442;60902442;60902442;60902442;60902442;60902442;60902442;60902442;60902482;60902482;60903360;60903360;60903567;60903577;60903648;60903648;60903648;60903648;60903648;60903648;60903648;60903648;60903648;60903648;60903648;60903648;60904788;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60904792;60907280;60909648;60909648;60915186;60917963;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918265;60918512;60918512;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60922054;60924291;60924291;60924291;60924291;60924291;60927432;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60928864;60932107;60932107;60932107;60944932;60944932;60944932;60944932;60944932;60944932;60944932;60944932;60944932;60944932;60944932;60944932;60944932	60874683;60874683;60874683;60874683;60874683;60874683;60874683;60874683;60874683;60887520;60887520;60887520;60887520;60887520;60887520;60887520;60887520;60887520;60890401;60891086;60891086;60891086;60891086;60891086;60891086;60891086;60891086;60891086;60891086;60893643;60896515;60898400;60898400;60898400;60898400;60898400;60898400;60898400;60898400;60898400;60898400;60898400;60898400;60899727;60899727;60899727;60899727;60899727;60899727;60899727;60899727;60899727;60899727;60899727;60899727;60900840;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60902508;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60903716;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60904873;60907523;60909957;60909957;60915286;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918388;60918613;60918559;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60922155;60924429;60924367;60924402;60924356;60924508;60927779;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60928959;60932304;60932148;60932148;60945059;60945062;60945051;60945073;60945073;60944959;60945064;60945051;60944959;60945064;60945070;60945051;60945070	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	13515	420
ENSG00000215032.2	chr5	60891935	60893577	-	1643	1
ENSG00000233847.1	chr5;chr5;chr5	60917490;60918295;60919377	60917567;60918427;60919573	+;+;+	408	1
ENSG00000164182.12	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	60945177;60945183;60945205;60945207;60945223;60945335;61045524;61045840;61050376;61073125;61073125;61073125;61073125;61073125;61073125;61083243;61098992;61098992;61098992;61098992;61098992;61098992;61121858;61152704;61152704;61152704;61152704;61152704;61152704	60945428;60945382;60945382;60945428;60945382;60945382;61045604;61045978;61050540;61073214;61073214;61073214;61073214;61073214;61073214;61083329;61099032;61099032;61099032;61099032;61099032;61099032;61126086;61153016;61153026;61153026;61152995;61153026;61154531	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6912	369
ENSG00000279985.1	chr5	61114432	61116753	-	2322	0
ENSG00000276945.1	chr5	61145846	61146376	-	531	4
ENSG00000188725.8	chr5;chr5;chr5;chr5;chr5;chr5;chr5	61157704;61159922;61161088;61161088;61162217;61162217;61162446	61160199;61160199;61161227;61161227;61162359;61162468;61162468	-;-;-;-;-;-;-	2888	1922
ENSG00000251279.1	chr5;chr5;chr5;chr5	61162070;61179704;61180352;61231913	61162526;61179827;61180438;61232040	+;+;+;+	796	0
ENSG00000249279.6	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	61201304;61201306;61250557;61252559;61252709;61252709;61252709;61264777;61264777;61264777;61304514;61304514;61304514	61201704;61201704;61250862;61252889;61252889;61252889;61252889;61264852;61264929;61264852;61304811;61304806;61304801	-;-;-;-;-;-;-;-;-;-;-;-;-	1489	10
ENSG00000130449.6	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	61332258;61472681;61490786;61494260;61521263;61525800;61526250;61530052;61531465;61535484;61538814;61539596;61541884;61543455	61332948;61473037;61490934;61494410;61521442;61525976;61526396;61530198;61531725;61535619;61538971;61539759;61541965;61546172	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5518	919
ENSG00000251682.1	chr5	61347126	61347716	+	591	0
ENSG00000250461.1	chr5	61375112	61375855	+	744	1
ENSG00000213891.3	chr5	61390668	61391871	-	1204	2
ENSG00000178722.13	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	61610424;61610447;61610494;61610505;61610509;61610509;61610537;61610545;61610627;61612768;61613885;61633848;61633848;61633848;61633848;61633848;61633848;61633848;61634774;61634774;61634774;61634774;61634774;61634774;61634774;61634774;61637708;61637766;61637766;61637771;61637771;61637773;61637773;61637773;61637781;61637782;61637792;61637792;61637803;61637809;61637809;61639856;61643327;61643327;61643327;61643327;61643327;61643327;61643327;61643327;61686076;61686872;61686883;61686883;61686883;61686883;61686883;61686883;61686922;61686922;61693496;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61703866;61713874;61730046;61730046;61730046;61730046;61730046;61730046;61748602;61748602;61748602;61748602;61748602;61748602;61748602;61748602;61748602;61748602;61748634;61750337;61750337;61750337;61750337;61750337;61750337;61750337;61750337;61750337;61751670;61751670;61751670;61751670;61751670;61755832;61755832;61755832;61755832;61755832;61755832;61755832;61755832;61755832;61755832;61755832;61757151;61757151;61757151;61757151;61757151;61757151;61757151;61790774	61610536;61610715;61610715;61610715;61610715;61610715;61610715;61610715;61610715;61612888;61613969;61633970;61633970;61633970;61633970;61633970;61633970;61633970;61634983;61634983;61634983;61634983;61636595;61634983;61634983;61634983;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61637846;61643397;61643400;61643400;61643400;61643400;61643400;61643400;61643400;61643400;61686112;61687070;61687070;61687070;61687070;61687070;61687070;61687070;61687070;61687070;61693560;61706535;61704183;61704108;61706453;61706496;61706535;61704108;61704108;61704108;61706459;61706518;61706496;61704108;61704605;61713969;61731620;61733358;61730573;61731457;61733368;61730916;61748695;61748719;61748695;61748695;61748695;61748695;61748695;61748719;61748695;61748695;61748695;61750544;61750544;61751770;61750544;61750544;61750544;61750544;61750544;61750544;61751770;61751770;61751770;61751770;61751770;61756105;61756429;61755944;61755944;61755944;61755944;61755944;61756134;61755944;61755944;61755944;61758884;61759126;61758508;61761787;61762044;61762063;61758895;61793401	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	22208	0
